"betay.SPDE_GMRF" "Sigma_Nu.SPDE_GMRF" "Range_Nu.SPDE_GMRF" "sum_Ztrue.SPDE_GMRF" "sum_Zpred.SPDE_GMRF" "betay.ICAR" "Sigma_Nu.ICAR" "Range_Nu.ICAR" "sum_Ztrue.ICAR" "sum_Zpred.ICAR"
"1" 1.91906429351625 0.466793902075086 3.58740736013683 7694.07857489489 6737.77649367383 0 0.204523415598346 2.05065670545169 7694.07857489489 6722.52864151183
"2" 2.17886116720929 0.693270515308609 11.6722264132062 8273.24376100769 8958.75495049196 0 0.290802080165595 2.91573086585837 8273.24376100769 8693.17625205188
"3" 2.03426448984934 0.564765054773257 7.15200157763177 7703.30794154759 7589.70746994606 0 0.274064903287822 2.74791534266106 7703.30794154759 7419.19825342463
"4" 2.08684526263067 1227.93125296173 0.000235600210895859 7374.45771925751 7727.81169002615 0 0.122677323115521 1.23002578710963 7374.45771925751 7777.11225953919
"5" 2.03809288748481 0.759411189077508 7.70725738694313 7929.75372053908 9252.98049574558 0 0.47096488299797 4.72213556832397 7929.75372053908 9300.30955201895
"6" 1.93869959866681 0.828096955939677 17.031200907969 8740.73376976298 8314.87223296359 0 0.316707836314668 3.17547526921421 8740.73376976298 8064.24417961157
"7" 1.91865453044991 0.763490225502799 8.217943364373 7970.85924309414 7805.25903070165 0 0.426025251782818 4.27154776730241 7970.85924309414 7721.28574279046
"8" 1.93524915480009 6893.06270819441 7.64131205523709e-05 7667.19819517612 7583.62931447463 0 0.46148961584574 4.62713167811012 7667.19819517612 7380.77154222616
"9" 1.96689823049845 0.68358796974707 7.31614842311378 7602.18646957718 7727.98253807086 0 0.324061130299221 3.24920316766764 7602.18646957718 7808.84142521928
"10" 2.06872437472831 0.478386958934133 3.51212054116419 7615.16080712616 7981.60887262443 0 0.182521738914081 1.83005660598741 7615.16080712616 7879.6964031653
"11" 1.99983813301044 0.677831274760501 5.93294099206575 7788.32546583376 8119.14222228364 0 0.364345850028314 3.65311843770175 7788.32546583376 7862.03462393394
"12" 1.85859385288393 0.737739871369465 5.99626669934534 7861.35549112224 8102.60090086666 0 0.523696223400907 5.25084704357674 7861.35549112224 8127.13219338858
"13" 2.04361698684633 0.454352343085079 14.2315538283074 7722.10819809125 7450.97671760081 0 0.123513023913043 1.23840495210243 7722.10819809125 7256.70993594861
